ross,kennedy,clerk,permit,weekly,acquaintance,henry,lee,reporter,executive,computer,corrupt,aid,evidence,expose,information,condition,conflict,john,write,hit,meanwhile,spend,business,happen,force,lead,start,kill,try,,,,,,,,,,
arun,remake,tamil,besides,december,ali,debut,khan,title,english,indian,co,direct,release,write,star,action,character,movie,play,,,,,,,,,,,,,,,,,,,,
ash,orlando,collins,look,sin,obstacle,woman,peaceful,singer,goal,path,reach,leader,gang,ex,arrive,control,street,close,hold,dead,save,plan,past,call,city,home,start,,,,,,,,,,,,
karate,school,private,arjun,system,government,crusade,hobby,flourish,fundamental,trained,bell,solitude,run,misery,educational,wed,acquaintance,repair,freak,revolutionary,fee,propose,eliminate,thug,education,ring,vow,computer,normal,super,model,expert,suicide,teach,medium,entire,study,kid,hero
ling,li,cheng,kung,fu,deadly,revenge,hand,shaolin,reclusive,kingpin,clothing,compound,worthy,measure,wolf,counter,failed,thailand,mouse,suspicion,lethal,kill,confidence,fatal,smuggle,intrigue,technique,exact,assassination,market,root,cat,vow,flee,trail,link,blind,engage,gain
ashok,durga,kill,file,court,prasad,inquiry,junior,mayor,question,claim,receive,provide,officer,government,laxmi,police,occurrence,broad,merely,thakur,advocate,apprehend,dismiss,dig,ravi,handle,frame,official,killing,regard,avenge,employee,locate,corrupt,red,inspector,approach,ready,india
ken,cure,disease,scientist,doctor,late,antidote,whereabouts,researcher,infiltrate,fiancee,infect,creation,undercover,fortune,scheme,authority,super,operation,information,soldier,sell,release,dr,hour,rich,offer,create,former,hand,job,discover,soon,look,leave,try,,,,
arjun,transfer,town,vinod,seema,khanna,brutality,anita,fault,determined,pooja,custody,death,raj,solace,subsequently,vain,deny,compromise,reputation,bombay,policeman,prostitute,warn,ruthless,regard,singh,circumstance,locate,torture,neighbor,speak,inspector,india,term,charge,justice,abandon,enemy,horror
son,military,killer,afghanistan,vicious,intelligence,skill,unable,serve,track,justice,protect,officer,gang,street,murder,return,police,bring,home,woman,teen,teenage,age,,,,,,,,,,,,,,,,
villager,outfit,depend,turmoil,injury,mercy,amidst,poignant,fatal,rebel,accuse,disturb,confrontation,inner,belong,native,underground,innocent,disappear,fellow,whom,rest,army,fate,fear,explore,experience,murder,fight,death,force,girl,leave,,,,,,,
police,santiago,son,determination,round,campaign,version,corruption,launch,depth,captain,official,risk,journalist,passion,expose,justice,investigation,witness,investigate,develop,cover,accept,refuse,class,criminal,move,murder,begin,own,,,,,,,,,,
nick,past,helicopter,regain,wipe,painful,explosive,vicious,engineer,trail,ordinary,seemingly,thriller,completely,forget,uncover,hot,memory,dangerous,victim,five,dark,killer,truth,action,husband,struggle,save,secret,run,father,leave,,,,,,,,
